"","Author.Name","Auth.ID","Number.of.Documents","Subject.Area","Orc_ID","X"
"1","Ernst J. A.",35227163500,1600,"Physics and Astronomy
Mathematics
Engineering
Computer Science
Energy
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Chemistry
","",NA
"2","Jain Vivek",35225796500,1429,"Physics and Astronomy
Engineering
Mathematics
Energy
Computer Science
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Chemistry
","",NA
"3","Alam M. S.",57218967548,1217,"Physics and Astronomy
Mathematics
Engineering
Energy
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Chemistry
","",NA
"4","Wappler F. R.",35228212600,519,"Physics and Astronomy
Mathematics
Engineering
","",NA
"5","Carpenter David O.",7201795413,505,"Biochemistry, Genetics and Molecular Biology
Medicine
Environmental Science
Neuroscience
Pharmacology, Toxicology and Pharmaceutics
Social Sciences
Agricultural and Biological Sciences
Multidisciplinary
Chemistry
Arts and Humanities
Psychology
Physics and Astronomy
Immunology and Microbiology
Health Professions
Computer Science
Mathematics
Chemical Engineering
Earth and Planetary Sciences
Energy
Nursing
Engineering
Materials Science
","",NA
"6","Swift S. P.",57193252255,426,"Physics and Astronomy
Engineering
Mathematics
Computer Science
","",NA
"7","Fischer A.",24398999400,424,"Physics and Astronomy
Engineering
Mathematics
Medicine
","",NA
"8","Bouffard J.",56073616600,420,"Physics and Astronomy
Engineering
Mathematics
","",NA
"9","Frisch Harry L.",7202829022,415,"Materials Science
Physics and Astronomy
Chemistry
Engineering
Mathematics
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Immunology and Microbiology
Medicine
Multidisciplinary
Computer Science
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Neuroscience
","",NA
"10","Blanchard Edward B.",35495436800,385,"Psychology
Medicine
Agricultural and Biological Sciences
Neuroscience
Arts and Humanities
Social Sciences
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Economics, Econometrics and Finance
","",NA
"11","Edson W.",55337020900,374,"Physics and Astronomy
Engineering
Mathematics
Multidisciplinary
","",NA
"12","Das Tara Prasad",7201461285,331,"Physics and Astronomy
Materials Science
Chemistry
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Mathematics
Engineering
","",NA
"13","Zain S. B.",35228198500,329,"Physics and Astronomy
Mathematics
Engineering
","",NA
"14","Hannan Edward L.",7005779022,302,"Medicine
Decision Sciences
Business, Management and Accounting
Nursing
Social Sciences
Mathematics
Health Professions
Computer Science
Biochemistry, Genetics and Molecular Biology
Engineering
Economics, Econometrics and Finance
Neuroscience
Psychology
","",NA
"15","Frye Cheryl Anne",7103032764,299,"Neuroscience
Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Psychology
Social Sciences
Arts and Humanities
Agricultural and Biological Sciences
Environmental Science
Nursing
Chemistry
","",NA
"16","Holtgrave David Robert",7005125315,294,"Medicine
Psychology
Immunology and Microbiology
Social Sciences
Health Professions
Nursing
Environmental Science
Arts and Humanities
Engineering
Business, Management and Accounting
Biochemistry, Genetics and Molecular Biology
Mathematics
Decision Sciences
Multidisciplinary
Chemistry
","0000-0002-4321-7395",NA
"17","Pan B.",35227719500,292,"Physics and Astronomy
Mathematics
Engineering
","",NA
"18","Kramer Laura D.",7201597208,280,"Immunology and Microbiology
Medicine
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Veterinary
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Multidisciplinary
Neuroscience
Arts and Humanities
Earth and Planetary Sciences
Engineering
Social Sciences
Chemical Engineering
Chemistry
","",NA
"19","Wolpaw J. R.",7006789495,276,"Neuroscience
Medicine
Biochemistry, Genetics and Molecular Biology
Engineering
Chemical Engineering
Computer Science
Health Professions
Psychology
Arts and Humanities
Multidisciplinary
Immunology and Microbiology
Chemistry
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Mathematics
Materials Science
Agricultural and Biological Sciences
","0000-0003-0805-1315",NA
"20","Gil-Garcia J. Ramon",57194992646,244,"Computer Science
Social Sciences
Engineering
Business, Management and Accounting
Decision Sciences
Mathematics
Economics, Econometrics and Finance
Environmental Science
Energy
Biochemistry, Genetics and Molecular Biology
Medicine
","0000-0002-1033-4974",NA
"21","Frisch Kurt C.",7005438380,231,"Materials Science
Engineering
Chemistry
Chemical Engineering
Physics and Astronomy
Environmental Science
Decision Sciences
Mathematics
Social Sciences
","",NA
"22","Lanford W. A.",35563368600,226,"Physics and Astronomy
Materials Science
Engineering
Chemistry
Energy
Earth and Planetary Sciences
Chemical Engineering
Multidisciplinary
Environmental Science
","",NA
"23","Lednev Igor K.",7004549899,225,"Chemistry
Biochemistry, Genetics and Molecular Biology
Materials Science
Physics and Astronomy
Chemical Engineering
Medicine
Engineering
Social Sciences
Environmental Science
Multidisciplinary
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
Computer Science
Arts and Humanities
Immunology and Microbiology
Health Professions
Psychology
Agricultural and Biological Sciences
","",NA
"24","Block Eric",7101944126,214,"Chemistry
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
Materials Science
Medicine
Physics and Astronomy
Multidisciplinary
Neuroscience
Engineering
Immunology and Microbiology
Mathematics
Energy
Social Sciences
Computer Science
","",NA
